category,Title ,Base_Reviews
disgust,Mobile Strike is a poor excuse for a game Money Trap,"Mobile Strike is a poor excuse for a game.  Epic, has clearly established a platform that has enabled a classic scam to satisfy greed. The game is extreamly frustrating and i dont like this gmae. I played this game when it first started and enjoyed it for a couple of months. When I quit the first time I had just completed level 21 and within a few days they came out with level 22.  There is a constant push to spend money to keep your forces at a level to be effective.  Most packs cost 99.  After a year I came back and there now is level 60's. epic offered a catch up pack for 4.99. Not bad I thought. The next pack was 19.00 to bring me to a level 90.  Within 3 weeks they are offering level 125's. the numbers used to track resources are astronomical.  Numbers like Million - Trillion- Trillion- Trillion (MTTT).  Epic constantly is modifying the game, ever increasing the need to purchase new packs to achieve the next level. Once a level is extended they are increasing the newest power levels by factors of 10. By doing that a person with a lower power level does not stand a chance fighting an opponent that is 10 times stronger.  So, the 4.99 catch up offer rapidly turned into 99 packs to keep up.  The current version of the game requires two power steps a week to remain competitive.  I would highly recommend to stay away from this so called game."
fear,The Game is fun and test you patience and military knowledge,"The game is fun and if you want to cause havoc,  you will need to spend some money,  so remember that.  It can also be somewhat addictive if your very competitive and don't like to lose. "
anger,Real time clock sucked. No one wants to wait an hour to ...,Real time clock sucked. No one wants to wait an hour to upgrade anything. Build all these troops to attack a base and all you see is a tank shooting. ....this game is a waste of time
anger,Awful,Game performance is terrible and they keep releasing new content without fixing the problems.  If you don't like money this is the game for you.
anger,Money Pit,"This game used to be fun. Now, you would need to spend several hundreds of dollars every week to remain in the game. The game makers release new items every couple days, but the game is junk. It freezes and glitches and they just keep releasing more and more upgrades. You never stay ahead no matter how much you spend. I spent thousands of dollars and am now stuck with a base that is worthless. Do not get sucked in to this money pit"
sadness,My condolences,"Don't get this game, major issues, I have been over charged and double charged by iTunes ,my pack doesn't contain what it says it does And items are grossly outdated daily. I literally bought a pack the next day it was out dated with height level tier troops Not worth it"
fear,Stay away.  Plenty of cheaper games availalbe.,As others have said this game is a ripoff.  You have to spend a small fortune if you want to keep up.  I would say a minimum of 1000 dollars per month.  Every few days they release new stuff that makes the items you previously paid for obsolete.  It is slightly addicting too so if you have addiction problems beware.  The developers only target big spenders and don't care about the average player.  If you cannot spend a lot of money you then get your but kicked constantly by those that can.  A classic game of the rich picking on the poor.  It is dominated by bullies who have money to burn  To the developers it is all about the most money they can make in the least amount of time and they care nothing about making it fair or even making it a competitive game.  Right now everyone in my alliance is either on strike (spending no more money) or has quit the game and started another one that is a lot less expensive.  That way we can all still play together but not blow money we cannot afford.  My advice is to stay away from this game.
sadness,crashing problems.,Horrible gameplay have it on my kindle fire and it keeps crashing won't really let me do anything this is a MAJOR PROBLEM and MUST BE FIXED In my opinion.
fear,Unless you want to spend thousands don't start this game it sucks,Mobile strike is a scam I have spent thousands and it just keeps costing more every other day it's either up your commander level up your VIP buy new gear and mods and don't forget about the 250 dollar researches that come every couple days they say play for free but unless you want to spend thousands don't even start this game oh and I almost forgot the really huge bases will attack you every chance you get the states are all dead save your money I wish I would have
fear,Just another dumb game. Wished these developers would do something more ...,Just another dumb game.  Wished these developers would do something more useful with their skills and time.  There are plenty of social problems to solve
fear,Horrible In-App ads - won't ever try,"The ads for Mobile Strike in my other apps are so annoying that I will NEVER, EVER download or try it. This is my message to you: DO NOT take over my screen or try to force me to play your demo game. It builds resentment and causes me to stop watching ads in other apps (like Compass Point: West) Maybe your game is fun. I will never know."
anger,Have to spend far too much money on it.,"The reviews saying this game is just about the money are completely true. You can start out having fun but to get anywhere near the most powerful players you need to spend real money, and a lot of it. Some of the most powerful players have spent thousands on this game. It's ridiculous. Think about what a few thousand dollars could buy you. Besides you'll get bored of playing it after a few months. Also, who has spent more than say 80 on a video game? Not many games out there structured like this. Someone is getting rich from it, but it's not the players."
